popularity,followers,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
100,78485332,0.596,0.488,-10.769,1,0.0274,0.9,2.7E-05,0.091,0.415,94.926
100,78485332,0.594,0.713,-5.314,1,0.0503,0.000328,0,0.114,0.328,129.958
100,78485332,0.662,0.181,-15.065,1,0.0415,0.966,3.86E-06,0.133,0.429,118.819
100,78485332,0.75,0.404,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045
100,78485332,0.793,0.634,-4.807,1,0.0324,0.038,1.76E-06,0.304,0.615,117.024
100,78485332,0.771,0.671,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026
100,78485332,0.633,0.889,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956
100,78485332,0.653,0.452,-11.143,0,0.055,0.838,7.73E-05,0.108,0.45,83.433
100,78485332,0.418,0.68,-4.3,1,0.0346,0.036,7.59E-05,0.108,0.142,204.125
100,78485332,0.654,0.655,-7.388,0,0.106,0.0294,0,0.139,0.221,170.16
100,78485332,0.53,0.712,-8.135,1,0.0461,0.44,0.0233,0.0931,0.577,167.964
100,78485332,0.559,0.334,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079
100,78485332,0.569,0.741,-4.963,1,0.0282,0.0122,0,0.333,0.43,100.118
100,78485332,0.575,0.434,-8.193,1,0.0312,0.735,6.59E-05,0.105,0.348,145.916
100,78485332,0.535,0.777,-3.292,1,0.207,0.0187,1.62E-06,0.136,0.664,171.72
100,78485332,0.506,0.626,-6.066,1,0.0287,0.156,0,0.228,0.321,148.035
100,78485332,0.589,0.47,-5.32,1,0.028,0.166,1.45E-06,0.112,0.102,119.386
100,78485332,0.515,0.476,-9.843,1,0.0328,0.314,4.74E-05,0.171,0.412,135.886
100,78485332,0.647,0.272,-12.906,1,0.0916,0.918,1.73E-05,0.0918,0.339,150.044
100,78485332,0.623,0.279,-10.802,1,0.031,0.661,0,0.193,0.38,116.04
100,78485332,0.498,0.61,-5.098,1,0.0363,0.271,0,0.223,0.474,79.918
100,78485332,0.621,0.417,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953
96,71097355,0.71,0.81,-5.507,1,0.0854,0.117,0.000132,0.154,0.184,92.041
96,71097355,0.882,0.612,-6.103,1,0.118,0.0475,5.07E-06,0.182,0.742,147.982
96,71097355,0.685,0.848,-4.561,0,0.0858,0.0861,7.14E-06,0.0783,0.761,179.87
96,71097355,0.744,0.868,-4.524,1,0.047,0.0326,0,0.0822,0.586,93.037
96,71097355,0.643,0.727,-5.506,1,0.0389,0.0439,0,0.123,0.295,90.019
96,71097355,0.811,0.637,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025
96,71097355,0.688,0.881,-4.889,0,0.0474,0.0947,0,0.0804,0.677,123.013
96,71097355,0.886,0.672,-4.394,1,0.188,0.0363,8.78E-06,0.101,0.526,91.976
96,71097355,0.816,0.726,-3.998,0,0.129,0.099,0,0.372,0.65,136.048
96,71097355,0.795,0.783,-4.271,1,0.0432,0.361,0,0.437,0.799,92.01
96,71097355,0.81,0.854,-3.999,0,0.254,0.0732,0,0.123,0.879,154.083
96,71097355,0.743,0.73,-4.314,0,0.125,0.287,8.1E-05,0.0778,0.15,179.972
96,71097355,0.639,0.703,-6.33,0,0.0794,0.0889,1.78E-06,0.0865,0.138,169.888
96,71097355,0.737,0.766,-4.242,0,0.0458,0.31,6.63E-06,0.114,0.662,93.956
96,71097355,0.731,0.573,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928
96,71097355,0.9,0.603,-5.313,1,0.0646,0.402,4.81E-06,0.134,0.824,129.928
96,71097355,0.816,0.538,-6.354,0,0.0617,0.0142,0.000496,0.099,0.156,97.054
96,71097355,0.85,0.536,-5.161,1,0.0599,0.267,3.89E-05,0.0996,0.505,96.029
96,71097355,0.716,0.522,-6.834,1,0.0582,0.166,6.5E-05,0.113,0.224,76.993
96,71097355,0.856,0.618,-4.892,1,0.286,0.0303,0,0.0866,0.391,81.993
96,71097355,0.725,0.86,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896
96,71097355,0.71,0.888,-3.036,0,0.0382,0.259,0,0.0969,0.626,90.009
96,71097355,0.61,0.624,-4.773,1,0.309,0.6,2.12E-06,0.243,0.244,176.169
96,71097355,0.644,0.648,-4.601,1,0.118,0.276,0,0.135,0.44,179.951
96,71097355,0.607,0.829,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172
96,71097355,0.745,0.836,-4.336,0,0.0444,0.145,0.00314,0.116,0.874,96.993
96,71097355,0.804,0.787,-3.824,0,0.0746,0.14,0,0.0927,0.562,91.974
96,71097355,0.584,0.411,-7.147,0,0.0838,0.869,4.47E-05,0.0955,0.412,169.934
96,71097355,0.883,0.6,-7.188,1,0.37,0.114,7.94E-06,0.0931,0.691,113.903
96,71097355,0.763,0.597,-5.054,1,0.0416,0.158,1.83E-05,0.111,0.194,126.054
96,71097355,0.639,0.791,-4.443,0,0.253,0.0275,0,0.362,0.939,92.603
96,71097355,0.592,0.494,-10.618,0,0.0747,0.237,0,0.13,0.231,132.037
96,71097355,0.86,0.725,-6.7,1,0.249,0.0464,9.1E-05,0.0994,0.375,145.001
96,71097355,0.86,0.758,-5.16,1,0.0695,0.021,6.54E-05,0.344,0.453,97.014
96,71097355,0.762,0.861,-4.075,0,0.0652,0.139,1.08E-06,0.0956,0.588,133.037
96,71097355,0.571,0.693,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169
96,71097355,0.754,0.646,-5.795,1,0.317,0.152,1.85E-05,0.108,0.429,176.089
96,71097355,0.659,0.688,-4.649,1,0.0673,0.207,0,0.113,0.632,153.979
96,71097355,0.691,0.765,-4.727,1,0.111,0.464,3.29E-06,0.203,0.855,174.021
96,71097355,0.743,0.655,-5.015,0,0.159,0.114,0,0.0764,0.785,172.031
96,71097355,0.743,0.671,-5.241,1,0.122,0.0512,0,0.116,0.499,163.229
95,67326139,0.606,0.57,-6.684,1,0.032,0.0217,8.47E-06,0.301,0.258,114.033
95,67326139,0.664,0.771,-5.779,1,0.0533,0.0155,9.6E-06,0.46,0.763,109.945
95,76904299,0.543,0.766,-3.387,0,0.343,0.423,0,0.155,0.729,106.869
95,76904299,0.736,0.491,-6.892,0,0.439,0.0681,0,0.571,0.203,141.979
95,67326139,0.581,0.652,-5.039,0,0.0496,0.439,0,0.351,0.358,90.634
95,76904299,0.429,0.43,-11.373,1,0.165,0.338,1.18E-05,0.138,0.125,174.983
95,76904299,0.492,0.26,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519
95,76904299,0.703,0.681,-6.356,1,0.133,0.00589,0,0.449,0.245,124.928
95,76904299,0.765,0.704,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055
95,76904299,0.843,0.485,-8.735,0,0.195,0.181,0.0675,0.107,0.689,100.053
95,76904299,0.558,0.414,-7.355,0,0.358,0.405,0,0.36,0.318,127.094
95,67326139,0.461,0.593,-4.954,1,0.0356,0.17,0,0.307,0.175,134.17
95,76904299,0.364,0.841,-4.831,1,0.119,0.000402,0,0.242,0.0841,100.14
95,76904299,0.739,0.416,-9.319,0,0.285,0.0966,1.27E-05,0.1,0.259,109.168
95,67326139,0.726,0.775,-4.174,1,0.269,0.217,0,0.212,0.777,127.943
95,76904299,0.739,0.491,-9.726,0,0.413,0.626,0,0.126,0.448,94.391
95,76904299,0.665,0.714,-7.292,1,0.158,0.0246,0,0.119,0.0999,85.368
95,76904299,0.881,0.546,-7.566,1,0.12,0.00296,4.72E-06,0.226,0.276,140.032
95,67326139,0.766,0.788,-3.128,0,0.312,0.105,5.81E-06,0.142,0.609,179.984
95,76904299,0.593,0.393,-11.736,1,0.0827,0.394,3.24E-06,0.11,0.193,136.866
95,67326139,0.853,0.663,-6.955,0,0.0755,0.0431,8.71E-06,0.0891,0.864,113.998
95,76904299,0.895,0.491,-10.261,0,0.246,0.0144,0.000988,0.143,0.249,83.505
