,Album_Id,Album_Type,Href,Album_Name,Label,Release_date,Release_date_precision,Total_tracks,Uri
1955,5MyjHOQJUW4cqtxL2LiaMv,single,https://api.spotify.com/v1/albums/5MyjHOQJUW4cqtxL2LiaMv,A Case Of You (The Voice Performance),Universal Motown Records Group,2014-01-01,day,1,spotify:album:5MyjHOQJUW4cqtxL2LiaMv
1956,1Pv6Znx8kGygusP4fqBD7m,album,https://api.spotify.com/v1/albums/1Pv6Znx8kGygusP4fqBD7m,Four The Record,RCA Records Label Nashville,2011-11-01,day,14,spotify:album:1Pv6Znx8kGygusP4fqBD7m
1957,1eHyfkrIOVLGVnt5E4MD2j,album,https://api.spotify.com/v1/albums/1eHyfkrIOVLGVnt5E4MD2j,Blurred Lines (Deluxe),The Neptunes,2013-01-01,day,14,spotify:album:1eHyfkrIOVLGVnt5E4MD2j
1958,0RnVSSUbSBEjk5MlQZhYYP,album,https://api.spotify.com/v1/albums/0RnVSSUbSBEjk5MlQZhYYP,Hard 2 Love,Curb Records,2012-04-24,day,13,spotify:album:0RnVSSUbSBEjk5MlQZhYYP
1959,7juWTdmjo0vYywWu8HiQxs,album,https://api.spotify.com/v1/albums/7juWTdmjo0vYywWu8HiQxs,Clarity,Interscope,2012-01-01,day,10,spotify:album:7juWTdmjo0vYywWu8HiQxs
1960,5FP9keIJnlSCKnkdVOf623,album,https://api.spotify.com/v1/albums/5FP9keIJnlSCKnkdVOf623,Born Sinner (Deluxe Version),Roc Nation LLC,2013-06-18,day,21,spotify:album:5FP9keIJnlSCKnkdVOf623
1961,2ePFIvZKMe8zefATp9ofFA,single,https://api.spotify.com/v1/albums/2ePFIvZKMe8zefATp9ofFA,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Columbia,2013-04-19,day,1,spotify:album:2ePFIvZKMe8zefATp9ofFA
1962,2Q9oTK48eb85waX1fFJsvj,album,https://api.spotify.com/v1/albums/2Q9oTK48eb85waX1fFJsvj,The Truth About Love,RCA Records Label,2012-09-18,day,17,spotify:album:2Q9oTK48eb85waX1fFJsvj
1963,6fGZwUN91Qe5h8xFcLV487,album,https://api.spotify.com/v1/albums/6fGZwUN91Qe5h8xFcLV487,Rebellious Soul,Atlantic Records,2013-08-05,day,11,spotify:album:6fGZwUN91Qe5h8xFcLV487
1964,5IUJ6v408Z7pECC3BXUJxX,album,https://api.spotify.com/v1/albums/5IUJ6v408Z7pECC3BXUJxX,Heartthrob,Vapor/Warner Records,2013-01-01,year,10,spotify:album:5IUJ6v408Z7pECC3BXUJxX
1965,11e4xCXllbvk8pWc1cCas1,single,https://api.spotify.com/v1/albums/11e4xCXllbvk8pWc1cCas1,Sweeter Than Fiction,"Big Machine Records, LLC",2013-10-21,day,1,spotify:album:11e4xCXllbvk8pWc1cCas1
1966,3C81mDhWllB5q56pfvik3U,compilation,https://api.spotify.com/v1/albums/3C81mDhWllB5q56pfvik3U,Ultimate Pitch Perfect (Original Motion Picture Soundtrack),Ultimate Pitch Perfect,2015-02-10,day,24,spotify:album:3C81mDhWllB5q56pfvik3U
1967,5V5T5fcIXdGH01QNFWEX69,single,https://api.spotify.com/v1/albums/5V5T5fcIXdGH01QNFWEX69,Wait For A Minute,Cash Money Records/Motown Records,2013-01-01,day,1,spotify:album:5V5T5fcIXdGH01QNFWEX69
1968,1EQNkmhggPKCVbFpJldHeb,album,https://api.spotify.com/v1/albums/1EQNkmhggPKCVbFpJldHeb,Make A Move,RCA Records Label,2013-10-09,day,11,spotify:album:1EQNkmhggPKCVbFpJldHeb
1969,48VmYXTnFSppL6D9msHFUU,single,https://api.spotify.com/v1/albums/48VmYXTnFSppL6D9msHFUU,Miss Movin' On,Syco Music/Epic,2013-07-16,day,1,spotify:album:48VmYXTnFSppL6D9msHFUU
1970,7i1Ej2Ix9aIiLKqhNwAB2l,album,https://api.spotify.com/v1/albums/7i1Ej2Ix9aIiLKqhNwAB2l,Overexposed (Deluxe),Interscope Records*,2012-01-01,day,15,spotify:album:7i1Ej2Ix9aIiLKqhNwAB2l
1971,0uqAyKT7oMZDFMyteJOJWI,album,https://api.spotify.com/v1/albums/0uqAyKT7oMZDFMyteJOJWI,Here's To The Good Times...This Is How We Roll,Big Machine Label Group,2013-01-01,day,17,spotify:album:0uqAyKT7oMZDFMyteJOJWI
1972,01WEcEzoa9mfh8fIDhvV1M,album,https://api.spotify.com/v1/albums/01WEcEzoa9mfh8fIDhvV1M,Lightning Bolt,Pearl Jam/Monkeywrench,2013-01-01,day,12,spotify:album:01WEcEzoa9mfh8fIDhvV1M
1973,5K2lqUwpSHseCoCfBcvlcV,single,https://api.spotify.com/v1/albums/5K2lqUwpSHseCoCfBcvlcV,The Quarterback,Columbia,2013-10-15,day,6,spotify:album:5K2lqUwpSHseCoCfBcvlcV
1974,5ll74bqtkcXlKE7wwkMq4g,album,https://api.spotify.com/v1/albums/5ll74bqtkcXlKE7wwkMq4g,Late Registration,Roc-A-Fella,2005-08-30,day,21,spotify:album:5ll74bqtkcXlKE7wwkMq4g
1975,76FXHQhTuT4QMIxfL09gX8,album,https://api.spotify.com/v1/albums/76FXHQhTuT4QMIxfL09gX8,The Heist,Macklemore,2012-10-09,day,15,spotify:album:76FXHQhTuT4QMIxfL09gX8
