index,Track_Id,Track_Name,Explicit,Popularity,Is_local,track_type
123,1cHFHTOMDb3zHcDwumFSCw,On My Soul,True,53,False,track
124,67lvhLT01Fq3GEIrt5RpPn,Outside (100 MPH),True,48,False,track
125,5W8HXMOMLtXLz0RGKUtnlZ,Last One Standing,True,72,False,track
126,308Ir17KlNdlrbVLHWhlLe,The Feels,False,78,False,track
127,4IfJuDOnqRfVVnzsDaqPeL,Me (FWM),True,50,False,track
128,7u5305l9KSUD6hKfpl3QSQ,Love Train,True,49,False,track
129,4HTY26kzdGCKJF1EqcRd2J,Feelin Like Tunechi,True,58,False,track
130,5jCOv8gthDM2jihFKmWNO1,Ride For You,True,0,False,track
131,4s7QLoImIwmPi9L6dq1nVW,TSU,True,76,False,track
132,4VCbgIdr8ptegWeJpqLVHH,Love All,True,73,False,track
133,2f2WskmLwsLtGkjntD8NG7,No Where,True,65,False,track
134,2hoR8CosGo9F4dTrE056ea,On My Side,True,57,False,track
135,5QS8PNEWbqTEZyQ6e9ZbJf,Things A Man Oughta Know,False,76,False,track
136,2TDP5T7TSnD5oVn4Irg585,Hold Me Down,True,55,False,track
137,22mxylGJ4gUVXc70E7BrPJ,50 Shots,True,57,False,track
138,4ysh4U8WPIuKS8Ff1ttSaS,Smoke Strong,True,56,False,track
139,7CK0O8SL6liw5eoHCRAcJf,Break Or Make Me,True,60,False,track
140,0UFXtWjUoj6mMOcIhuwKoM,Sincerely,True,55,False,track
141,1BCHhb7Zd9mK4X602uhZi3,I Can't Take It Back,True,55,False,track
142,6KgtcmCF9Ky68XC7ezxl3s,Rumors,True,71,False,track
143,6nGwQVNLVqjUOPdzqIwB7U,Forgiato,True,53,False,track
144,36Mtea491T9xLpYuaY86EU,Rich Shit,True,51,False,track
145,34D6FJysnQioVingDKufuf,N 2 Deep,True,70,False,track
146,0sr0YMdDTNNr4Lv4VnI3C8,Baddest Thing,True,54,False,track
147,11pEKMLmavDu8fxOB5QjbQ,Pipe Down,True,73,False,track
148,6jy9yJfgCsMHdu2Oz4BGKX,Papi's Home,True,71,False,track
149,4JPSK2W012QBtOtO3HJl9E,Toxic Punk,True,58,False,track
150,7CC6UbCs4iGsePSzFxYxNn,Moon,False,76,False,track
151,1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),False,87,False,track
152,1Xi84slp6FryDSCbzq4UCD,Arcade,False,81,False,track
153,6bpq1jGkVz66Q3LYeoXdjZ,Scoop,True,68,False,track
154,7zQirOExB0VR8yWUOqYeio,Dolla Sign Slime,True,62,False,track
155,6pmNoWKk0r6zfIjWneJRxR,Lonely,True,67,False,track
156,3grVoZ10bm2jUGpo7BxpuF,Dead Right Now,True,60,False,track
157,5S4PZ7AuYlYiVIVik3wHUf,Tales Of Dominica,False,66,False,track
158,3JR2RztQcOjUQGQSybxDIO,One Of Me,True,58,False,track
159,2Q3jFbyE61mCjS3SkW4toJ,Race My Mind,True,69,False,track
160,6th8IdY4lYeM0QlSQJhhkp,Lost In The Citadel,False,60,False,track
161,34eF4BoV8FPk0uhAAoqU7h,Sun Goes Down,False,65,False,track
162,42m3eP1JJhtzffal9B136J,7am On Bridle Path,True,66,False,track
163,6LNoArVBBVZzUTUiAX2aKO,Off The Grid,False,75,False,track
164,4nGAZUZd9ZemQ7NvZQL4eX,In Da Getto,False,4,False,track
165,6isTQfKXhNO3EyJd9mSxx8,Am I Dreaming,False,63,False,track
166,3CiF9D8iuVhZWDvvjf8HpG,Country Again,False,73,False,track
167,0UTyLmkQgPOEIz95OVAJTR,Range Brothers,True,67,False,track
168,1EJIcDYXwSqipW5dFe4uJz,Every Chance I Get,True,80,False,track
169,7F9cT6hIRhnFCYP6GKS0tf,IMY2,True,69,False,track
170,1PDP7mLiAMwhfmgIwzhOm2,Yebba's Heartbreak,True,81,False,track
171,5ScbulRnixQ2XAdvrPMFjz,Get Along Better,True,72,False,track
172,50ceCGZ3oD3U5caQV5bP6f,You Only Live Twice,True,67,False,track
173,7uQZVznj0uQOGC9KhV2Mg6,Lalisa,False,77,False,track
174,08XWh5c0BMyD1nKVxxl91z,Fountains,True,74,False,track
175,6LnIxE8CqkK7faQV76nEHS,Single Saturday Night,False,66,False,track
176,0Iuw6WPws324i7G7sCejTX,We Didn't Have Much,False,67,False,track
177,6d8HN8MqqbqrEUI2bvx0aG,Jail,False,67,False,track
178,1cCXT1cErAY6tmIqHbodrt,The Remorse,True,61,False,track
179,5LuXsO34x6KVlL8OWsxRqk,Ok Ok,False,60,False,track
180,1jgcODbfAL3tV7tikF6n1j,Junya,False,60,False,track
181,0JuSGEldfovcc8IS9va1wa,Believe What I Say,False,68,False,track
182,35acXjupfWHgtchiS6yAjC,Jonah,False,61,False,track
183,1LwdWIbfuqlOo8vlHxkyna,Jesus Lord,False,60,False,track
184,40uMIn2zJLAQhNXghRjBed,Motley Crew,True,78,False,track
185,45N9i9QraLWD6GW7xBqxnx,Remote Control,False,62,False,track
186,5JaSg0AYyAMMLjyGGDrrCm,God Breathed,False,57,False,track
187,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,False,84,False,track
188,6IBcOGPsniK3Pso1wHIhew,Forever After All,False,82,False,track
189,2Y40huo5ewaKYxsFintYtF,Heaven And Hell,False,66,False,track
190,68RhNM8ehkarnEKnCkqlsp,24,False,63,False,track
191,5aqUqSq0SqGBAqEn27PEzc,Pure Souls,False,66,False,track
192,3hd6zLhnTlbJ8PupYt3cAI,No Child Left Behind,False,65,False,track
193,4jkwu5KQbXXrbAZzVmt5fE,Donda,False,54,False,track
194,7EagormFign5ag6f16ua3I,Keep My Spirit Alive,False,59,False,track
195,2H8jWuNmluerTEsuh8Gu6y,Jail Pt 2,False,59,False,track
196,3XKjZcgNYtvCmBpE1nX7Wn,"I Am Not A Woman, I'm A God",False,62,False,track
197,75QktuEju5vz9lyXiLaUao,New Again,False,63,False,track
198,5Iq6pIudd4KfuxZqf8872b,Lord I Need You,False,60,False,track
199,5xvXeuxISyXJDRbZZf4uzd,Come To Life,False,61,False,track
200,4OfnDoi5VOPsXtwnofq6aL,Tell The Vision,False,52,False,track
201,6SRsiMl7w1USE4mFqrOhHC,Brutal,True,82,False,track
202,05bfbizlM5AX6Mf1RRyMho,AM,True,77,False,track
203,21AJQhGZpujjZQXByZAXpr,Repeat It,True,67,False,track
204,1HsOTiVqdN7PB1zOS2bcsO,Matt Hardy 999,True,67,False,track
205,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,False,94,False,track
206,3oV2RVOmwdWdf9BmGS4Oad,Glad You Exist,False,68,False,track
207,1KMkcUvF7m3SDChDOa7i5L,Without You,True,80,False,track
208,3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,True,79,False,track
209,18vXApRmJSgQ6wG2ll9AOg,Rapstar,True,83,False,track
210,33aow0AcXYvT1FoWNzMcqN,Lil Bit,True,70,False,track
211,5zFglKYiknIxks8geR8rcL,Beautiful Mistakes,False,82,False,track
212,6cUHiQEECDl5m3WFGQ1GCR,Rich MF,True,71,False,track
213,2wOnrN7fkzV4NsLqym2C6O,Already Won,True,61,False,track
214,4mOkfIYbMX9PXx27hj8NTi,Betrayal,True,60,False,track
215,55sgQENF3LY1sUcJUwasLl,Don't Go,False,65,False,track
216,3zc8VZEpM1onYV4FWGdFvm,Tombstone,True,71,False,track
217,3P3suix3tTmgAsN9hXoY5Y,Visiting Hours,False,0,False,track
218,5WSYEQSBKIuibgoQTn8eeU,Holy Smokes,True,62,False,track
219,5gZYpjakt37G3c58FKcQwJ,Miss The Rage,True,78,False,track
220,2cc8Sw1OnCuA5bV8nqWqpE,You,True,75,False,track
221,3Dc7EiHP7aDOhTI92OQaKi,MP5,True,60,False,track
222,5svL1PkWw8hPEAOdTNLexy,Paralyzed,False,64,False,track
223,1is8gU4RVcN4J8xItxWoOY,I Guess I'm In Love,False,77,False,track
224,04EHa1ZzBl8OPvcnddph4p,Get Ready,True,55,False,track
225,7jjbfUEecddD2AW1UncQzb,Danny Phantom,True,57,False,track
226,1jNapyyVxPB4X6gewQjEM8,What's Wrong,True,66,False,track
227,1hE8iI3YK9x1VUBDtSzg3x,Demon Time,True,67,False,track
228,3JXebpWufTcs8iegiRCBW7,Tick Tock,True,51,False,track
229,3XYRV7ZSHqIRDG87DKTtry,Permission To Dance,False,80,False,track
230,5zAKS2742J6jxxJ8QzeOF9,Time Heals,True,56,False,track
231,5xyLeb2q1lxDf7hXKYlC1H,Mind Of Melvin,True,66,False,track
232,3nkW3TPQjBip1lER4h78NX,Papercuts,True,63,False,track
233,1MIGkQxcdAt2lDx6ySpsc5,SUVs (Black On Black),True,69,False,track
234,3X2r2CnHOJeV5YekPTgBnK,Straightenin,True,66,False,track
235,2CwG4BXIlGmmYLDmDvwMTH,Blame It On You,False,62,False,track
236,4lUmnwRybYH7mMzf16xB0y,Hats Off,True,69,False,track
237,22ruOqBqBRiZDiXFud4OXa,Over The Top,True,72,False,track
238,6fOKWhVo0bQkd5U3EeM4Vc,Brainwashed,False,52,False,track
239,5B0kgjHULYJhAQkK5XsMoC,WUSYANAME,True,78,False,track
240,5JCoSi02qi3jJeHdZXMmR8,Favorite Crime,False,87,False,track
241,5A0DZWivlvlNm1fZZaz5rl,Outside,True,62,False,track
242,0cu0rhnlCnJ7JIeHRiLpj3,Ball If I Want To,True,74,False,track
243,2nkKBegmLjGjCZ0cP9xA09,Next Girl,False,60,False,track
244,7KrlNS2VqiNNJ82RMQdxBn,I Like Dat,True,64,False,track
245,0vzSAyinyA619ZbrOaAi04,Steal My Love,False,63,False,track
246,6uTID2glulLOXYhcwMETS1,5500 Degrees,True,63,False,track
247,6tDDoYIxWvMLTdKpjFkc1B,Telepatia,False,87,False,track
248,7kDUspsoYfLkWnZR7qwHZl,My Ex's Best Friend,True,79,False,track
249,38GBNKZUhfBkk3oNlWzRYd,NDA,True,77,False,track
250,4bRPecD9suGW8CfNZhzjS1,EPMD 2,True,55,False,track
251,7nVERWQXlgZRQsYw4fHf3b,Lose,True,59,False,track
252,4ka1FkKAMde6dQAFFMXKac,I Hope Ur Miserable Until Ur Dead,True,70,False,track
253,29t9XYOV65fFXiVzFFJgHH,Not Sober,True,69,False,track
254,2tGvwE8GcFKwNdAXMnlbfl,Happier,True,87,False,track
255,2Ty7EDf9XLYzEUqEIwJfDC,Twerkulator,True,64,False,track
256,7Bk0uXKk1uPT0XuQbpFzvs,Fiel,False,75,False,track
257,465eCPwUAz2qz7IdQaxUui,Rare,True,55,False,track
258,2etHQJxIbV0soyPhelVs9Y,Best Friend,True,75,False,track
259,4jPy3l0RUwlUI9T5XHBW2m,Mood,True,84,False,track
260,4HOryCnbme0zBnF8LWij3f,Getting Older,False,74,False,track
261,2KnuaZYoGzDoHiBTNYOTXG,Billie Bossa Nova,False,81,False,track
262,4t2OeILB07eMGTXSUbMPEu,Oxytocin,False,72,False,track
263,7bcy34fBT2ap1L4bfPsl9q,I Didn't Change My Number,True,76,False,track
264,6g3XrmNrWVa33dZuxIhMbF,Way Less Sad,False,68,False,track
265,4191RXFPa7Ge9XkA4cWlna,Lost Cause,True,73,False,track
266,5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,False,79,False,track
267,2ygvZOXrIeVL4xZmAWJT2C,My Future,False,73,False,track
268,7BoobGhD4x5K96Me0hqC8Q,Build A Bitch,True,76,False,track
269,3Dah4SWoWwekrG4GShaHVP,From The Garden,True,56,False,track
270,31sSFHIe4NaxltVFOEIcTa,Working,True,65,False,track
