Id,Name,Followers,Popularity
4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men,3487070,68
57nPqD7z62gDdq37US9XJR,Arcane,155484,71
196lKsA13K3keVXMDFK66q,The Avett Brothers,972300,61
79FMDwzZQxHgSkIYBl3ODU,Trace Adkins,2499959,61
2LFbgsbEhfilNpQYW7mied,Shane & Shane,371073,62
3dkbV4qihUeMsqN4vBGg93,Al Green,1801705,66
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,6056059,74
5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho,107364,64
7BMccF0hQFBpP6417k1OtQ,Action Bronson,764595,63
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,4267587,74
147nKr9upHZSSxqCzh9j7c,Jimmie Allen,233896,62
4QFG9KrGWEbr6hNA58CAqE,Aleman,4786926,74
2gXmjQIxCO8lMnSncluZaU,Cory Asbury,461586,62
3abT87tqQ4Q5PA5nw6CYyH,Ángela Aguilar,787672,71
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,2529143,62
4qU7IJSReZnsLy5907Mtau,Richy Mitch & The Coal Miners,56942,66
4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,4131901,70
2TSslwx9J30KElgEr68sdv,Los Alegres Del Barranco,725194,64
7FNnA9vBm6EKceENgCGRMb,Anitta,12837148,78
0l6WgSoqo4UqeuXFKnTQRu,Aldo Trujillo,1396037,67
2jzc5TC5TVFLXQlBNiIUzE,a-ha,2000767,72
2QOIawHpSlOwXDvSqQ9YJR,Antonio Vivaldi,2220029,70
7htQnykNfk2Bu39bSw7owz,ame,851,65
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,1546548,67
6mEQK9m2krja6X1cfsAjfl,Ado,2615010,73
2qAwMsiIjTzlmfAkXKvhVA,Armani White,456398,67
2rWCIhENZyPVDAeFC0ESWN,Josh A,645729,64
6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,8807258,69
5KbiLoVLLIHM5vZ0RM9WMU,Pecos & the Rooftops,91107,60
2NjfBq1NflQcKSeiDooVjY,Tones And I,3012490,71
6kNKUYGn6VNGsRoXmyoDPK,The Amity Affliction,653695,63
5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,7219365,76
1sxekzjeHJaqkZbpaaGR9x,Los Acosta,1695757,67
6XYvaoDGE0VmRt83Jss9Sn,King Gizzard & The Lizard Wizard,967242,64
7r1Ecc2TAxhyLeGac53N6K,Los Amables Del Norte,82641,65
2t2XKfWKLXpFIjFwy1K8wx,Aaron Lewis,793500,59
5MspMQqdVbdwP6ax3GXqum,Annie Lennox,1370058,70
1TMrnxBwZfmfRxsGzkNIHw,Andy Mineo,554438,60
6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,1114915,65
5j9R5dTGerKvdXopZnfJh9,Ramon Ayala Y Sus Bravos Del Norte,452088,64
6LC8g4SRSqJ4zm6sQeutFZ,Jaziel Avilez,37016,67
3utxjLheHaVEd9bPjQRsy8,Coheed and Cambria,630397,60
3g2kUQ6tHLLbmkV7T4GPtL,Fiona Apple,1191151,62
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,338411,64
0PrhwIWbqYFYyY2ZrkIWgI,Adriel Favela,1436936,68
19I4tYiChJoxEO5EuviXpz,AFI,847753,61
2jHp7gQArCQrlMvdrIVFCg,Anson Seabra,897933,67
7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A,405099,62
3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang,2270734,68
21UPYSRWFKwtqvSAnFnSvS,Amaarae,172113,66
4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,1704340,62
41ESHLayJ5sDKjAOv6cMhe,Ana Gabriel,3725848,71
371jpyGdoChzUASOIG2ECV,Ashley McBryde,215436,59
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,2046993,69
6P6GTRTigHBp8ZesNtpCKH,Almighty,549628,70
3hOdow4ZPmrby7Q1wfPLEy,Aries,334276,61
37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,1055712,58
02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats,584710,61
3ciRvbBIVz9fBoPbtSYq4x,Lil Jon & The East Side Boyz,755821,62
1GAS0rb4L8VTPvizAx2O9J,Atmosphere,661336,59
03Yb3iBy9GCifXiATEFcit,Pepe Aguilar,4137637,70
7bYFA0NlCuL55EJRgNpOZE,Ambient Fruits Music,23535,64
3LkSiHbjqOHCKCqBfEZOTv,Atreyu,880667,61
382aq8Pij5V2nE2JMHMoxl,Hoodie Allen,707657,62
2gLxI7MomgJVmIADX9RZUp,GERARDO DIAZ Y SU GERARQUIA,307866,62
1SImpQO0GbjRgvlwCcCtFo,The Red Jumpsuit Apparatus,1275333,63
5ITI6SEoUZMIXXkzCfr4oE,Aluna,56211,64
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,2202159,65
7sOR7gk6XUlGnxj3p9F54k,half•alive,660718,61
1mX1TWKpNxDSAH16LgDfiR,Jesse & Joy,7704072,75
3kzwYV3OCB010YfXMF0Avt,Alvvays,479931,61
3a1tBryiczPAZpgoZN9Rzg,Asake,1284827,71
7A9yZMTrFZcgEWAX2kBfK6,Huey Lewis & The News,1452347,64
08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,1027112,60
3mMogqf2JyBUQZxFZlC79w,Arden Jones,143141,62
45m1IiS45uD1HcPlYkNWKj,A$AP ANT,289976,60
4jCIAMb0zEArF3GYEYzoDk,Joy Again,224570,62
3ICflSq6ZgYAIrm2CTkfVP,The Animals,2217551,64
7yO4IdJjCEPz7YgZMe25iS,A$AP Mob,2052914,60
7K5Lm5dxoEwEpOS0Fc3l3s,Anaïs Mitchell,63080,60
74V3dE1a51skRkdII8y2C6,André 3000,287253,61
6mcrZQmgzFGRWf7C0SObou,Frankie Valli & The Four Seasons,577443,63
6O4EGCCb6DoIiR6B1QCQgp,Toro y Moi,714292,62
25jJ6vyXwTRa0e6XCcdR6U,Ari Abdul,194379,67
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,1587725,60
7gRhy3MIPHQo5CXYfWaw9I,Azealia Banks,991609,64
